"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18331467136213787,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Do roku 2026 vám přejeme hodně pohody,
klidné cesty a spoustu šťastných kilometrů před sebou.
Děkujeme, že jste s námi 🤍

#novyrok2026 #šťastnýnovýrok #pneuboss #pohodovajízda #novyčátky #autoživot #cestybavı́ #pf2026",0,"12/31/2025 09:05",https://www.instagram.com/p/DS74G3WE0FL/,"IG image",,Lifetime,144,67,4,0,0,0,0
18376832008153939,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Ptali jsme se kolegů,
které auto má podle nich nejhorší design 😬🚗

Názory se různí…
A některé odpovědi i zabolely 😅

👉 A co ty? Které auto má nejhorší design podle tebe?

#autozivot #autodesign #meme #kolegové #carculture",0,"12/29/2025 10:21",https://www.instagram.com/reel/DS23DDXiljl/,"IG reel",,Lifetime,3323,2780,46,7,0,7,2
17896951776223279,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Když máš na chvíli pocit,
že z tvého auta bude letadlo 🚗✈️

👉 Už se ti to někdy stalo?
#autozivot #nocnijizda #meme #ridici #oopsmoment",0,"12/27/2025 08:18",https://www.instagram.com/reel/DSxfjuiip4D/,"IG reel",,Lifetime,14665,11566,1031,482,0,2,46
17846282598629580,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Proč má smysl umývat auto i v zimě? 🚗❄️

V zimě dostává auto zabrat víc, než si myslíš 👇

🧂 Sůl ničí karoserii
Zůstává na povrchu auta a postupně narušuje ochranné vrstvy.

🛠️ Sůl způsobuje korozi
Nejvíc trpí podvozek, lemy blatníků a hrany karoserie.

🎨 Zimní špína se zažírá do laku
Bláto, sůl a chemie mohou lak dlouhodobě poškodit.

Pravidelné mytí auta v zimě
= lepší ochrana a delší životnost.

👉 Jak často myješ auto v zimě?

#autozivot #zimnijizda #peceoauto #mytiauta #tipyprovozice",15,"12/25/2025 10:00",https://www.instagram.com/reel/DSshdrQipiJ/,"IG reel",,Lifetime,2204,1801,37,13,0,0,4
18152641408421323,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Přejeme vám krásné Vánoce plné pohody,
klidných chvil a radosti na cestách.
Užijte si svátky a děkujeme, že jste s námi 🎄🤍

#veselévánoce #vánoce2025 #pneuboss #svátečnípohoda #radostnacestách #autozivot #pohodovájízda",0,"12/24/2025 04:00",https://www.instagram.com/p/DSpTpWRj6_S/,"IG image",,Lifetime,161,80,3,0,0,0,0
18544024279060664,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Ptali jsme se kolegů,
jestli dávají blinker na kruhovém objezdu 👀

A odpovědi… nepřekvapily 😅
👉 A co ty, používáš blinkr?

#ridici #pneuboss #tasy",11,"12/22/2025 09:33",https://www.instagram.com/reel/DSkwHyNCiU6/,"IG reel",,Lifetime,1858,1520,26,2,0,0,1
18056407751665861,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Jaké bylo tvoje první auto? 🤔🚗
My jsme se zeptali kolegů.
Napiš to svoje do komentářů 👇

#prvniauto #tasy #pneuboss",13,"12/21/2025 08:38",https://www.instagram.com/reel/DSiFBgkikLg/,"IG reel",,Lifetime,917,719,12,2,0,1,0
17887587825405259,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","To není hluk 😅.
Je to zvuk 🔊.

#autozivot #carsound #meme",0,"12/20/2025 06:55",https://www.instagram.com/reel/DSfUgIKClie/,"IG reel",,Lifetime,2554,1657,111,36,1,0,6
18020078618792098,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","🚛 Giti GAM838 – Vítej v rodině!
Nová směs běhounu a robustní dezén pro:
✅ Vynikající odolnost proti opotřebení
✅ Spolehlivou přilnavost
✅ Vysokou stabilitu – na silnici i v terénu

#GitiTire #GAM838 #NákladníPneumatiky #OnAndOffRoad #Výkon #Odolnost",0,"12/18/2025 01:04",https://www.instagram.com/p/DSZiw-3Dh3I/,"IG image",,Lifetime,153,65,2,0,0,0,0
18095838202710446,17841402202605251,pneuboss.cz,"Pneuboss.cz | E-shop s pneumatikami","Barum Polaris 6 potvrzuje kvalitu v testech AUTO BILD 2025! ❄️
Tradiční česká značka opět boduje – nová generace zimní pneumatik Polaris 6 postoupila mezi 20 nejlepších modelů v kvalifikaci prestižního testu AUTO BILD 2025 a následně získala hodnocení „gut (1,8)“ v hlavním testu.
 
✅ Výborné brzdění na sněhu – 28,2 m z 50 km/h
✅ Krátká brzdná dráha na mokré vozovce – 35,1 m z 80 km/h
✅ Nízký valivý odpor a tichá jízda
✅ Skvělý poměr ceny a výkonu
 
➡️ Barum Polaris 6 nabízí spolehlivost, jistotu a českou kvalitu pro každodenní zimní provoz.",0,"12/17/2025 03:46",https://www.instagram.com/p/DSXQiS7Da-l/,"IG image",,Lifetime,205,88,2,0,0,0,0
